time_stamps,cumulative_heading_changes,avg_distance_to_closest_person,intimate_space_intrusions,personal_space_intrusions,social_space_intrusions,robot_on_person_collision,person_on_robot_collision,time_not_moving,avg_robot_linear_speed,avg_robot_angular_speed,avg_acceleration,avg_overacceleration,avg_pedestrian_velocity,avg_closest_pedestrian_velocity,social_force_on_agents,social_force_on_robot,social_work,obstacle_force_on_robot,obstacle_force_on_agents,behavior_active
0.0,0.0,10.434866803801755,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.695853590965271,1.695853590965271,4.0084998e-09,4.0084998e-09,8.0169995e-09,0.0,0.10094834,0
0.96,0.0,10.773313500958208,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.574675440788269,1.574675440788269,1.4094876e-09,1.4094876e-09,2.8189753e-09,0.0,0.01710948,0
1.94,0.0,11.150933425035525,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.5822365283966064,1.5822365283966064,1.086914e-09,1.086914e-09,2.173828e-09,0.0,0.05667487,0
2.9,0.0,11.37740342413453,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.8967996835708618,1.8967996835708618,7.2683255e-11,7.2683255e-11,1.4536651e-10,0.0,0.000264421,0
3.88,0.0,11.115031004237268,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.7961804866790771,1.7961804866790771,2.3286688e-07,2.3286688e-07,4.6573376e-07,0.0,0.0005102205,0
4.86,0.0,10.578369531400144,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.8941797018051147,1.8941797018051147,3.0680425e-08,3.0680425e-08,6.136085e-08,0.0,0.011883234,0
5.84,0.0,10.345611745327687,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.7739166021347046,1.7739166021347046,2.643934e-09,2.6439242e-09,5.287858e-09,0.0,0.14185514,0
6.82,0.0,10.500259959036804,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.6825174689292908,0.6825174689292908,9.388194e-09,9.388194e-09,1.8776388e-08,0.0,0.008071957,0
7.8100000000000005,0.0,10.54640242762286,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.8535836935043335,1.8535836935043335,2.6314256e-10,2.6314007e-10,5.2628263e-10,0.0,0.055711005,0
8.8,0.0,10.745910900257943,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.8130648136138916,1.8130648136138916,6.224965e-10,6.224965e-10,1.244993e-09,0.0,0.028421449,0
9.77,0.0,11.105327483137126,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.867035150527954,1.867035150527954,2.2242062e-11,2.2242062e-11,4.4484125e-11,0.0,0.0006665913,0
10.72,0.0,11.353491127083196,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.349460244178772,1.349460244178772,1.1192055e-06,1.1192046e-06,2.2384102e-06,0.0,2.5377327e-05,0
11.67,0.0,10.755914128969437,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.8645271062850952,1.8645271062850952,1.0462431e-07,1.0462413e-07,2.0924844e-07,0.0,0.002192284,0
12.62,0.0,10.284343049293296,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.886778473854065,1.886778473854065,1.1547699e-08,1.1547743e-08,2.3095442e-08,0.0,0.0060883304,0
13.59,0.0,10.451462620405662,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.8870115280151367,1.8870115280151367,3.2048003e-11,3.2047878e-11,6.409588e-11,0.0,0.09880614,0
14.58,0.0,10.449014095164763,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.4521499872207642,1.4521499872207642,1.2118153e-07,1.2118224e-07,2.4236377e-07,0.0,0.015913611,0
15.57,0.0,10.5717490983978,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.899999976158142,1.899999976158142,1.473019e-10,1.473019e-10,2.946038e-10,0.0,0.035915166,0
16.53,0.0,10.90411252577873,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.899999976158142,1.899999976158142,2.6030402e-11,2.6030402e-11,5.2060804e-11,0.0,0.037599243,0
17.49,0.0,11.369633383868456,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.8999491930007935,1.8999491930007935,4.4168533e-11,4.4169043e-11,8.833757e-11,0.0,0.00054189505,0
18.44,0.0,11.198233401449405,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.7259443998336792,1.7259443998336792,4.224556e-07,4.224556e-07,8.449112e-07,0.0,0.00029396117,0
19.39,0.0,10.64527248144267,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.8921716213226318,1.8921716213226318,4.003108e-08,4.0030926e-08,8.006201e-08,0.0,0.009748856,0
20.32,0.0,10.347489891254545,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.8458901643753052,1.8458901643753052,5.8367386e-09,5.8367613e-09,1.16734995e-08,0.0,0.07042972,0
21.27,0.0,10.51826509547828,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.8924542665481567,1.8924542665481567,1.8669795e-09,1.8669866e-09,3.733966e-09,0.0,0.013063394,0
22.22,0.0,10.456567979016606,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.7460734844207764,1.7460734844207764,2.2927997e-09,2.2927824e-09,4.585582e-09,0.0,0.10892275,0
23.17,0.0,10.661050557461849,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.899161696434021,1.899161696434021,3.1224645e-10,3.1224406e-10,6.244905e-10,0.0,0.01939949,0
24.11,0.0,10.925631970237614,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.899999976158142,1.899999976158142,3.0426647e-11,3.0426647e-11,6.0853295e-11,0.0,0.0025180315,0
25.07,0.0,11.467482168744901,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.2742980718612671,0.2742980718612671,1.1590634e-11,1.1590634e-11,2.3181268e-11,0.0,1.1875425e-05,0
26.0,0.0,10.876395129818473,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.873353123664856,1.873353123664856,1.2805914e-07,1.2805889e-07,2.5611803e-07,0.0,0.0005469874,0
26.95,0.0,10.425843721918293,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.897681713104248,1.897681713104248,1.621256e-08,1.6212592e-08,3.2425152e-08,0.0,0.006544362,0
27.89,0.0,10.327398882861115,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.7474921941757202,1.7474921941757202,6.691214e-10,6.691214e-10,1.3382428e-09,0.0,0.19533443,0
28.86,0.0,10.47929454036496,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.47158053517341614,0.47158053517341614,4.2076978e-10,4.2076978e-10,8.4153956e-10,0.0,0.0019500945,0
29.83,0.0,10.436601935512119,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.709520697593689,1.709520697593689,2.0098418e-09,2.0098418e-09,4.0196837e-09,0.0,0.12742548,0
30.77,0.0,10.623677073431365,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.8966991901397705,1.8966991901397705,2.4830013e-10,2.4830013e-10,4.9660026e-10,0.0,0.018215086,0
31.72,0.0,10.949338393642702,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.899999976158142,1.899999976158142,1.9359138e-11,1.9359285e-11,3.8718424e-11,0.0,0.0015251245,0
32.66,0.0,11.336599576435546,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0937321186065674,1.0937321186065674,6.36941e-07,6.3694034e-07,1.2738814e-06,0.0,3.933073e-05,0
33.6,0.0,10.779923959396221,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.8816760778427124,1.8816760778427124,7.0619066e-08,7.0619066e-08,1.4123813e-07,0.0,0.0018469446,0
34.54,0.0,10.390371544212181,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.8974623680114746,1.8974623680114746,1.05089075e-08,1.0508888e-08,2.1017796e-08,0.0,0.0043148957,0
35.49,0.0,10.457936691341956,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.893041968345642,1.893041968345642,7.761614e-11,7.761614e-11,1.5523229e-10,0.0,0.0915547,0
36.43,0.0,10.47210507663493,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.5426124334335327,1.5426124334335327,4.7375515e-08,4.7375515e-08,9.475103e-08,0.0,0.033967506,0
37.38,0.0,10.642590200544607,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.8488242626190186,1.8488242626190186,3.3134273e-10,3.3134528e-10,6.62688e-10,0.0,0.010775427,0
38.32,0.0,10.857215700567211,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.8681652545928955,1.8681652545928955,1.8784227e-10,1.8784227e-10,3.7568454e-10,0.0,0.019418655,0
39.25,0.0,11.201500930579527,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.8949896097183228,1.8949896097183228,9.910338e-12,9.9104145e-12,1.9820753e-11,0.0,0.00018707634,0
40.19,0.0,11.23055091713534,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.6758525371551514,1.6758525371551514,5.038408e-07,5.038408e-07,1.0076816e-06,0.0,8.689378e-05,0
41.12,0.0,10.686005697410028,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.872564435005188,1.872564435005188,5.8200342e-08,5.8200342e-08,1.16400685e-07,0.0,0.0040979143,0
42.04,0.0,10.350277162218552,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.8866883516311646,1.8866883516311646,7.462741e-09,7.462756e-09,1.4925497e-08,0.0,0.017149214,0
42.98,0.0,10.503642147155238,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.899999976158142,1.899999976158142,2.2205449e-10,2.2205449e-10,4.4410897e-10,0.0,0.042853314,0
43.89,0.0,10.429198625190503,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.5777037143707275,1.5777037143707275,5.2573714e-08,5.2573714e-08,1.0514743e-07,0.0,0.025624156,0
44.84,0.0,10.583373803476515,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.899999976158142,1.899999976158142,1.6790863e-10,1.6790863e-10,3.3581726e-10,0.0,0.026609411,0
45.75,0.0,10.7531749676482,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.899999976158142,1.899999976158142,1.880692e-10,1.880692e-10,3.761384e-10,0.0,0.018023707,0
