time_stamps,cumulative_heading_changes,avg_distance_to_closest_person,intimate_space_intrusions,personal_space_intrusions,social_space_intrusions,robot_on_person_collision,person_on_robot_collision,time_not_moving,avg_robot_linear_speed,avg_robot_angular_speed,avg_acceleration,avg_overacceleration,avg_pedestrian_velocity,avg_closest_pedestrian_velocity,social_force_on_agents,social_force_on_robot,social_work,obstacle_force_on_robot,obstacle_force_on_agents
0.0,0.0,10.434866803801755,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.6646248896916707,1.695853590965271,8.341715e-05,8.341715e-05,0.00015993108,0.0,0.033932157
0.96,0.0,10.773313500958208,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.5058319171269734,1.574675440788269,0.0002021618,0.0002021618,0.00040431845,0.0,0.010447538
1.94,0.0,11.115979037905719,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.4799818992614746,1.3577091693878174,0.0005785898,0.0005785898,0.0011571774,0.0,0.025861762
2.9,0.0,9.690153923844582,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.7107738256454468,1.4997990131378174,0.0015697973,0.0015697973,0.0031395946,0.0,0.05703835
3.88,0.0,9.211942314775639,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.4622759819030762,1.351642370223999,2.3286724e-07,2.3286724e-07,4.6573436e-07,0.0,0.19902384
4.86,0.0,10.578369531400144,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.638569434483846,1.8941797018051147,3.068043e-08,3.068043e-08,6.136086e-08,0.0,0.070523225
5.84,0.0,10.345611745327687,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.6897998253504436,1.7739166021347046,2.6439346e-09,2.6439249e-09,5.287859e-09,0.0,0.05269168
6.82,0.0,10.500259959036804,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.1833573778470357,0.6825174689292908,1.1151114e-06,1.1151114e-06,2.2279046e-06,0.0,0.00412015
7.8100000000000005,0.0,10.54640242762286,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.715305765469869,1.8535836935043335,1.9104027e-06,1.9104027e-06,3.8206895e-06,0.0,0.09723353
8.8,0.0,10.745910900257943,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.7043549219767253,1.8130648136138916,3.351175e-06,3.351175e-06,6.7021356e-06,0.0,0.019637762
9.77,0.0,11.105327483137126,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.6537627379099529,1.867035150527954,1.2578457e-05,1.2578458e-05,2.3183933e-05,0.0,0.00023570172
10.72,0.0,11.353491127083196,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.5299396514892578,1.349460244178772,2.1689752e-05,2.168975e-05,4.3373017e-05,0.0,0.00061061356
11.67,0.0,10.755914128969437,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.6637653509775798,1.8645271062850952,5.853235e-05,5.853235e-05,0.00011706316,0.0,0.11265009
12.62,0.0,10.284343049293296,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.3127067883809407,1.886778473854065,0.0001591099,0.0001591099,0.00031821965,0.0,0.035505917
13.59,0.0,10.451462620405662,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.5052402814229329,1.8870115280151367,0.00044853822,0.00044853822,0.00089707645,0.0,0.2768059
14.58,0.0,10.022566123865342,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.5483476718266804,1.4999197721481323,0.001263143,0.001263143,0.0025262553,0.0,0.037035283
15.57,0.0,8.665894377957969,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.3810224831104279,0.4430675208568573,1.4730217e-10,1.4730217e-10,2.9460429e-10,0.0,0.013197062
16.53,0.0,9.846808574826644,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.6106452544530232,1.347137689590454,2.8734448e-06,2.8734337e-06,5.746868e-06,0.0,0.022484913
17.49,0.0,11.150004097965182,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.6125781536102295,1.4499049186706543,1.1271663e-06,1.1271663e-06,2.254323e-06,0.0,0.11324745
18.44,0.0,11.198233401449405,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.6467331250508626,1.7259443998336792,5.3143362e-06,5.3143362e-06,1.0256814e-05,0.0,0.018375967
19.39,0.0,10.64527248144267,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.1777627368768055,1.8921716213226318,4.0031097e-08,4.0030944e-08,8.0062044e-08,0.0,0.0034026813
20.32,0.0,10.347489891254545,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.701874057451884,1.8458901643753052,1.6433685e-08,1.6433706e-08,3.2799846e-08,0.0,0.025843957
21.27,0.0,10.51826509547828,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.6255114078521729,1.8924542665481567,4.3398785e-07,4.3398785e-07,8.679732e-07,0.0,0.1838123
22.22,0.0,10.456567979016606,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.1436959902445476,1.7460734844207764,1.694287e-06,1.694287e-06,3.388207e-06,0.0,0.054997165
23.17,0.0,10.661050557461849,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.4923490683237712,1.899161696434021,1.776241e-05,1.7762402e-05,3.5524736e-05,0.0,0.28583398
24.11,0.0,10.925631970237614,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.7022711833318074,1.899999976158142,5.009105e-05,5.009105e-05,0.00010018209,0.0,0.025222162
25.07,0.0,11.467482168744901,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.1907257239023845,0.2742980718612671,0.00013785674,0.00013785667,0.0002757134,0.0,0.0035663855
26.0,0.0,10.876395129818473,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.665942907333374,1.873353123664856,0.00036790821,0.00036790836,0.0007328413,0.0,0.004171223
26.95,0.0,10.365108361308835,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.7291924556096394,1.499981164932251,0.0010001755,0.0010001755,0.001998304,0.0,0.07190472
27.89,0.0,8.961396511394229,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.682360569636027,1.4995895624160767,0.0026736406,0.0026736415,0.005341855,0.0,0.07079149
28.86,0.0,9.909278665770803,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.7768008808294932,1.4902548789978027,4.2966847e-10,4.2966847e-10,8.591042e-10,0.0,0.0006681031
29.83,0.0,10.436601935512119,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.4983404874801636,1.709520697593689,7.725923e-08,7.7259095e-08,1.5444324e-07,0.0,0.043973144
30.77,0.0,10.623677073431365,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.6893000602722168,1.8966991901397705,1.5244987e-08,1.5244959e-08,3.0465394e-08,0.0,0.079068996
31.72,0.0,10.949338393642702,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.6812329689661663,1.899999976158142,3.3823208e-10,3.3823225e-10,6.760584e-10,0.0,0.029891962
32.66,0.0,11.336599576435546,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.2491612831751506,1.0937321186065674,6.3694114e-07,6.3694046e-07,1.2738815e-06,0.0,0.26417
33.6,0.0,10.779923959396221,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.6308966080347698,1.8816760778427124,7.0619066e-08,7.0619066e-08,1.4123813e-07,0.0,0.07578134
34.54,0.0,10.390371544212181,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.7163578271865845,1.8974623680114746,7.761066e-06,7.761066e-06,1.5522042e-05,0.0,0.005254909
35.49,0.0,10.457936691341956,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.5832730134328206,1.893041968345642,2.9510662e-05,2.9510662e-05,5.811915e-05,0.0,0.03175886
36.43,0.0,10.47210507663493,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.548658808072408,1.5426124334335327,7.9975434e-05,7.9975405e-05,0.0001591225,0.0,0.081216924
37.38,0.0,10.642590200544607,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.7142008145650227,1.8488242626190186,0.00021827126,0.00021827126,0.0004338308,0.0,0.032159988
38.32,0.0,10.857215700567211,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.7227217356363933,1.8681652545928955,0.00057332,0.00057332,0.0011383346,0.0,0.0067924224
39.25,0.0,9.769095891309016,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.7032238245010376,1.4998220205307007,0.0014538869,0.0014538864,0.002907772,0.0,0.0007659676
40.19,0.0,8.735359186194676,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.4119291305541992,0.94045090675354,5.543433e-07,5.543434e-07,1.1086844e-06,0.0,0.100243
41.12,0.0,10.030536556930238,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.6730685234069824,1.4974709749221802,5.8261676e-08,5.8261676e-08,1.1651634e-07,0.0,0.024460651
42.04,0.0,10.350277162218552,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.5301740169525146,1.8866883516311646,7.462744e-09,7.462759e-09,1.49255e-08,0.0,0.23381187
42.98,0.0,10.503642147155238,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.6498008966445923,1.899999976158142,2.2205465e-10,2.2205465e-10,4.4410922e-10,0.0,0.07746655
43.89,0.0,10.429198625190503,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.6248412132263184,1.5777037143707275,5.2573714e-08,5.2573714e-08,1.0514743e-07,0.0,0.012068778
44.84,0.0,10.583373803476515,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.5398030678431194,1.899999976158142,4.8185956e-07,4.8185956e-07,9.636628e-07,0.0,0.009267633
45.75,0.0,10.7531749676482,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.7025985717773438,1.899999976158142,2.750303e-06,2.750303e-06,5.5005494e-06,0.0,0.08180208
